Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,IlMI,Label
172.16.0.20-192.168.1.1-31316-80-6,172.16.0.20,31316,192.168.1.1,80,6,04/05/2025 06:54:59 PM,19135694,153,152,75000,0,500,0,490.19607843137254,69.55186050933216,0,0,0,0.0,3919.3770552560045,15.938800024707753,62946.36184210526,282012.920020945,1870889,7,19122356,125804.97368421052,390836.3626482891,1875481,50,19093134,126444.59602649006,391482.2640691177,1872043,7,0,0,0,0,6124,6084,7.995529192722249,7.943270831985503,0,500,245.9016393442623,250.37719603301804,62688.74029335634,1,2,0,150,304,0,0,0,0.9934640522875817,245.9016393442623,490.19607843137254,0.0,6124,6250.0,12.5,30578.134676705537,0.0,0.0,0.0,13.909090909090908,6818.181818181818,13.818181818181818,0.0,57037,26926,150,40,19135694,0.0,19135694,19135694,0.0,0.0,0.0,0.0,NeedManualLabel
192.168.1.100-8.8.8.8-26322-80-6,192.168.1.100,26322,8.8.8.8,80,6,04/05/2025 06:55:18 PM,17034958,153,152,75000,0,500,0,490.19607843137254,69.55186050933216,0,0,0,0.0,4402.711177802727,17.904358789731095,56036.04605263158,253235.1473862853,1980362,3,17013584,111931.47368421052,351223.2853342435,1985014,50,16991753,112528.16556291391,352020.18396823836,1982654,3,0,0,0,0,6124,6084,8.981530802717565,8.922827987013529,0,500,245.9016393442623,250.37719603301804,62688.74029335634,1,2,0,150,304,0,0,0,0.9934640522875817,245.9016393442623,490.19607843137254,0.0,6124,8333.333333333334,16.666666666666668,17210.542765445083,0.0,0.0,0.0,17.0,8333.333333333334,16.88888888888889,0.0,45881,62813,150,40,17034958,0.0,17034958,17034958,0.0,0.0,0.0,0.0,NeedManualLabel
192.168.1.100-8.8.8.8-38938-443-6,192.168.1.100,38938,8.8.8.8,443,6,04/05/2025 06:55:36 PM,20808508,153,152,75000,0,500,0,490.19607843137254,69.55186050933216,0,0,0,0.0,3604.294935513877,14.657466071089768,68449.03947368421,305261.37895272183,1940064,3,20790082,136776.8552631579,422862.54082022037,1944642,50,20789526,137678.98013245032,423634.9301026922,1941800,3,0,0,0,0,6124,6084,7.35276166844831,7.304704402641458,0,500,245.9016393442623,250.37719603301804,62688.74029335634,1,2,0,150,304,0,0,0,0.9934640522875817,245.9016393442623,490.19607843137254,0.0,6124,5769.2307692307695,11.538461538461538,47926.96697065145,0.0,0.0,0.0,11.76923076923077,5769.2307692307695,11.692307692307692,0.0,41189,56560,150,40,20808508,0.0,20808508,20808508,0.0,0.0,0.0,0.0,NeedManualLabel
172.16.0.20-192.168.1.1-2531-80-6,172.16.0.20,2531,192.168.1.1,80,6,04/05/2025 06:55:57 PM,17324375,153,152,75000,0,500,0,490.19607843137254,69.55186050933216,0,0,0,0.0,4329.160503625672,17.6052527147444,56988.07565789474,255601.60545415874,1695831,1,17285636,113721.28947368421,354371.3161072313,1699745,50,17293724,114527.97350993377,355696.2678974848,1697047,1,0,0,0,0,6124,6084,8.83148742739637,8.773765287348029,0,500,245.9016393442623,250.37719603301804,62688.74029335634,1,2,0,150,304,0,0,0,0.9934640522875817,245.9016393442623,490.19607843137254,0.0,6124,7500.0,15.0,20681.48527257646,0.0,0.0,0.0,15.3,7500.0,15.2,0.0,13988,23735,150,40,17324375,0.0,17324375,17324375,0.0,0.0,0.0,0.0,NeedManualLabel
172.16.0.20-8.8.8.8-21819-443-6,172.16.0.20,21819,8.8.8.8,443,6,04/05/2025 06:56:14 PM,16309550,153,152,75000,0,500,0,490.19607843137254,69.55186050933216,0,0,0,0.0,4598.532761480236,18.700699896686295,53649.83552631579,238982.40169183025,1815307,7,16262539,106990.38815789473,331400.73198295006,1819857,50,16276691,107792.65562913907,332628.3760359008,1816511,7,0,0,0,0,6124,6084,9.381006833419683,9.319693063266612,0,500,245.9016393442623,250.37719603301804,62688.74029335634,1,2,0,150,304,0,0,0,0.9934640522875817,245.9016393442623,490.19607843137254,0.0,6124,8333.333333333334,16.666666666666668,16195.692334535628,0.0,0.0,0.0,21.857142857142858,10714.285714285714,21.714285714285715,0.0,57490,42626,150,40,16309550,0.0,16309550,16309550,0.0,0.0,0.0,0.0,NeedManualLabel
172.16.0.20-8.8.8.8-50071-80-6,172.16.0.20,50071,8.8.8.8,80,6,04/05/2025 06:56:31 PM,19564616,153,152,75000,0,500,0,490.19607843137254,69.55186050933216,0,0,0,0.0,3833.451165103368,15.589368071420363,64357.28947368421,299551.82751339645,2279026,3,19524238,128448.93421052632,415807.46280902385,2283765,50,19528273,129326.31125827815,417703.2702774253,2319404,3,0,0,0,0,6124,6084,7.820240376810871,7.769127694609493,0,500,245.9016393442623,250.37719603301804,62688.74029335634,1,2,0,150,304,0,0,0,0.9934640522875817,245.9016393442623,490.19607843137254,0.0,6124,7500.0,15.0,23683.983658682846,0.0,0.0,0.0,15.3,7500.0,15.2,0.0,17158,34274,150,40,19564616,0.0,19564616,19564616,0.0,0.0,0.0,0.0,NeedManualLabel
10.0.0.50-192.168.1.1-60662-443-6,10.0.0.50,60662,192.168.1.1,443,6,04/05/2025 06:56:51 PM,17360999,153,152,75000,0,500,0,490.19607843137254,69.55186050933216,0,0,0,0.0,4320.027897012148,17.568113447849402,57108.54934210526,255924.99985795564,1702942,1,17323709,113971.7697368421,354855.7393491605,1707569,50,17323810,114727.21854304636,355765.9025547538,1704282,1,0,0,0,0,6124,6084,8.81285690990478,8.75525653794462,0,500,245.9016393442623,250.37719603301804,62688.74029335634,1,2,0,150,304,0,0,0,0.9934640522875817,245.9016393442623,490.19607843137254,0.0,6124,6818.181818181818,13.636363636363637,25611.062886428255,0.0,0.0,0.0,15.3,7500.0,15.2,0.0,32965,52822,150,40,17360999,0.0,17360999,17360999,0.0,0.0,0.0,0.0,NeedManualLabel
10.0.0.50-192.168.1.1-54538-443-6,10.0.0.50,54538,192.168.1.1,443,6,04/05/2025 06:57:08 PM,17781227,153,152,75000,0,500,0,490.19607843137254,69.55186050933216,0,0,0,0.0,4217.931642175199,17.152922011512477,58490.87828947369,274313.254351395,1985559,9,17739341,116706.19078947368,381045.75018722465,1990509,50,17760467,117618.98675496689,382193.3969068537,1987295,9,0,0,0,0,6124,6084,8.604580550037406,8.54834146147507,0,500,245.9016393442623,250.37719603301804,62688.74029335634,1,2,0,150,304,0,0,0,0.9934640522875817,245.9016393442623,490.19607843137254,0.0,6124,9375.0,18.75,14899.126950891681,0.0,0.0,0.0,19.125,9375.0,19.0,0.0,44623,1362,150,40,17781227,0.0,17781227,17781227,0.0,0.0,0.0,0.0,NeedManualLabel
172.16.0.20-208.67.222.222-36116-80-6,172.16.0.20,36116,208.67.222.222,80,6,04/05/2025 06:57:26 PM,16808770,153,152,75000,0,500,0,490.19607843137254,69.55186050933216,0,0,0,0.0,4461.956466773,18.145289631543534,55292.00657894737,255263.23884571894,2323183,0,16768090,110316.38157894737,354367.8023030757,2327120,50,16767135,111040.62913907284,356414.66293089226,2363863,0,0,0,0,0,6124,6084,9.10239119221692,9.042898439326613,0,500,245.9016393442623,250.37719603301804,62688.74029335634,1,2,0,150,304,0,0,0,0.9934640522875817,245.9016393442623,490.19607843137254,0.0,6124,9375.0,18.75,14844.53614189318,0.0,0.0,0.0,19.125,9375.0,19.0,0.0,31749,60375,150,40,16808770,0.0,16808770,16808770,0.0,0.0,0.0,0.0,NeedManualLabel
172.16.0.20-208.67.222.222-52753-443-6,172.16.0.20,52753,208.67.222.222,443,6,04/05/2025 06:57:43 PM,18042186,153,152,75000,0,500,0,490.19607843137254,69.55186050933216,0,0,0,0.0,4156.924221931866,16.904825169189586,59349.29605263158,270677.17135287786,1947687,6,17996075,118395.2302631579,375529.10917997145,1952452,50,18028901,119396.69536423842,376702.38672766584,1949484,6,0,0,0,0,6124,6084,8.480125412741005,8.42469975644858,0,500,245.9016393442623,250.37719603301804,62688.74029335634,1,2,0,150,304,0,0,0,0.9934640522875817,245.9016393442623,490.19607843137254,0.0,6124,8333.333333333334,16.666666666666668,16571.98539013768,0.0,0.0,0.0,19.125,9375.0,19.0,0.0,39536,44115,150,40,18042186,0.0,18042186,18042186,0.0,0.0,0.0,0.0,NeedManualLabel
