Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,IlMI,Label
172.16.0.20-208.67.222.222-51977-10037-6,172.16.0.20,51977,208.67.222.222,10037,6,04/05/2025 06:55:03 PM,154006,52,53,11271,11473,427,0,216.75,110.56962583305935,457,0,216.47169811320754,104.54859079607708,147682.5578224225,681.7916185083698,1480.826923076923,120581.09530985814,261675,-274237,77153,1512.8039215686274,121708.28115966795,287053,-274237,19521,375.40384615384613,116877.39773684076,264483,-234311,0,0,0,0,2080,2120,337.64918249938313,344.14243600898664,0,457,216.6095238095238,107.05367949323504,11460.490293040293,0,1,0,8,104,5,0,0,1.0192307692307692,219.01904761904763,216.75,216.47169811320754,2080,2079.75,9.5,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
192.168.1.100-208.67.222.222-16617-80-6,192.168.1.100,16617,208.67.222.222,80,6,04/05/2025 06:55:04 PM,-36387,84,84,30076,30519,746,0,358.04761904761904,161.74670848306664,686,0,363.32142857142856,158.71138924933103,0.0,0.0,-217.88622754491018,47149.04624716282,95374,-98612,-13965,-168.25301204819277,44567.330298358786,97729,-98612,1642,19.783132530120483,45391.147615261325,88003,-93143,0,0,0,0,3360,3360,0.0,0.0,0,746,360.6845238095238,159.77765763339318,25528.8998788138,0,2,0,8,167,6,0,0,1.0,360.6845238095238,358.04761904761904,363.32142857142856,3360,3315.285714285714,9.0,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
10.0.0.50-192.168.1.1-36208-53-6,10.0.0.50,36208,192.168.1.1,53,6,04/05/2025 06:55:08 PM,20622,57,56,14248,13183,494,0,249.96491228070175,100.37269209449221,456,0,235.41071428571428,96.26549967964343,1330181.3597129278,5479.584909320143,184.125,25336.252581372748,59882,-58225,20622,368.25,29195.522781444044,57065,-58225,-17240,-313.45454545454544,23758.968592635887,53787,-49407,0,0,0,0,2280,2240,2764.038405586267,2715.5465037338763,0,494,242.75221238938053,98.19137027231308,9641.545195954488,0,2,0,10,112,5,0,0,0.9824561403508771,242.75221238938053,249.96491228070175,235.41071428571428,2280,3041.6666666666665,12.0,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
192.168.1.100-8.8.8.8-46453-80-6,192.168.1.100,46453,8.8.8.8,80,6,04/05/2025 06:55:02 PM,78181,81,80,3716,3586,99,0,45.876543209876544,23.555457284910318,114,0,44.825,24.673962599869256,93398.65184635653,2059.3238766452205,488.63125,110260.94056057847,253614,-245879,78181,977.2625,114851.8109493618,223064,-237354,248898,3150.6075949367087,106638.36449197601,247119,-203559,0,0,0,0,3240,3200,1036.0573540885894,1023.2665225566313,0,114,45.35403726708075,24.047975470371775,578.3051242236025,0,2,0,8,160,9,0,0,0.9876543209876543,45.35403726708075,45.876543209876544,44.825,3240,1674.5,34.5,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
192.168.1.1-192.168.1.100-6656-52964-17,192.168.1.1,6656,192.168.1.100,52964,17,04/05/2025 06:55:04 PM,-169917,57,0,23896,0,857,0,419.2280701754386,220.91231433889425,0.0,0.0,0.0,0.0,0.0,0.0,-3034.2321428571427,87239.80217788232,183999,-179791,-169917,-3034.2321428571427,87239.80217788232,183999,-179791,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1596,0,0.0,0.0,0,857,419.2280701754386,220.91231433889425,48802.25062656642,0,0,0,0,0,0,0,0,0.0,419.2280701754386,419.2280701754386,0.0,1596,23896.0,55.0,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
172.16.0.20-8.8.8.8-18428-61909-6,172.16.0.20,18428,8.8.8.8,61909,6,04/05/2025 06:55:00 PM,-318531,85,84,40706,37513,975,2,478.8941176470588,237.04836875973785,929,0,446.5833333333333,224.5839102227132,0.0,0.0,-1896.017857142857,331871.6521249042,755056,-711199,-318531,-3792.035714285714,336297.2379863022,581978,-755120,229011,2759.1686746987953,318721.00704235537,755056,-706497,0,0,0,0,3400,3360,0.0,0.0,0,975,462.8343195266272,230.8186435193474,53277.24619611158,0,2,0,9,168,9,0,0,0.9882352941176471,462.8343195266272,478.8941176470588,446.5833333333333,3400,12713.0,26.0,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
10.0.0.50-8.8.8.8-9948-80-6,10.0.0.50,9948,8.8.8.8,80,6,04/05/2025 06:55:05 PM,-434652,58,58,16903,17024,579,0,291.4310344827586,146.3370433213473,675,0,293.51724137931035,145.37661210333135,0.0,0.0,-3779.582608695652,226417.57969284232,485689,-529055,-440496,-7728,215137.5086326849,416824,-494061,-494603,-8677.245614035088,224841.2223843656,452496,-382750,0,0,0,0,2320,2320,0.0,0.0,0,675,292.4741379310345,145.2258487715747,21090.54715142429,0,1,0,3,115,10,0,0,1.0,292.4741379310345,291.4310344827586,293.51724137931035,2320,5545.666666666667,18.333333333333332,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
192.168.1.1-192.168.1.100-80-50255-6,192.168.1.1,80,192.168.1.100,50255,6,04/05/2025 06:55:02 PM,-143799,63,63,3734,3484,131,0,59.26984126984127,28.38684744805091,105,7,55.301587301587304,23.005353458758613,0.0,0.0,-1150.392,133536.72800152458,305293,-318499,-146894,-2369.2580645161293,132563.1270660845,322750,-318499,94614,1526.032258064516,152126.17830010608,312843,-321548,0,0,0,0,2520,2520,0.0,0.0,0,131,57.285714285714285,25.8100312724668,666.1577142857143,0,2,0,9,125,6,0,0,1.0,57.86507936507937,59.26984126984127,55.301587301587304,2520,1146.3333333333333,18.666666666666668,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
192.168.1.100-208.67.222.222-7377-30580-6,192.168.1.100,7377,208.67.222.222,30580,6,04/05/2025 06:55:02 PM,9430,29,29,5215,4502,345,15,179.82758620689654,79.04296705206661,298,0,155.24137931034483,80.40906806201018,1030434.7826086958,6150.583244962885,165.43859649122808,46873.898683831016,110583,-98437,9430,336.7857142857143,52524.709049104895,91731,-80726,-26760,-955.7142857142857,45645.70207332992,84963,-71673,0,0,0,0,1160,1160,3075.2916224814426,3075.2916224814426,0,345,167.5344827586207,79.99346804851957,6398.954930429522,0,1,0,4,57,2,0,0,1.0,167.5344827586207,179.82758620689654,155.24137931034483,1160,1659.6666666666667,9.333333333333334,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
10.0.0.50-192.168.1.1-21308-80-6,10.0.0.50,21308,192.168.1.1,80,6,04/05/2025 06:55:06 PM,-1847,66,67,7669,7982,298,0,116.1969696969697,65.41352946317632,291,0,119.13432835820896,64.90526791955125,0.0,0.0,-13.992424242424242,109671.3368802056,255384,-260041,96368,1482.5846153846153,118570.85726803988,255384,-199919,-84658,-1282.6969696969697,115394.32211174793,233839,-228021,0,0,0,0,2640,2680,0.0,0.0,0,298,117.67669172932331,64.92741271840242,4215.568922305764,0,1,0,5,132,3,0,0,1.0151515151515151,119.0827067669173,116.1969696969697,119.13432835820896,2640,1593.75,13.25,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
