Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,IlMI,Label
10.0.0.50-208.67.222.222-49317-59402-17,10.0.0.50,49317,208.67.222.222,59402,17,04/05/2025 06:55:02 PM,10034,26,0,8359,0,648,0,321.5,172.6550897019836,0.0,0.0,0.0,0.0,833067.5702611123,2591.18995415587,401.36,13027.267668496977,30679,-25272,10034,401.36,13027.267668496977,30679,-25272,0.0,0.0,0.0,0.0,0.0,0,0,0,0,728,0,2591.18995415587,0.0,0,648,321.5,172.6550897019836,29809.78,0,0,0,0,0,0,0,0,0.0,321.5,321.5,0.0,728,8359.0,25.0,833067.5702611123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,24,28,10034,0.0,10034,10034,0.0,0.0,0.0,0.0,NeedManualLabel
10.0.0.50-8.8.8.8-64672-80-17,10.0.0.50,64672,8.8.8.8,80,17,04/05/2025 06:54:56 PM,20301,0,17,0,5119,0.0,0.0,0.0,0.0,520,26,301.11764705882354,168.0051644864456,252155.06625289394,837.3971725530762,1268.8125,22033.208818262643,34973,-45042,0.0,0.0,0.0,0.0,0.0,20301,1268.8125,22033.208818262643,34973,-45042,0,0,0,0,0,476,0.0,837.3971725530762,26,520,301.11764705882354,168.0051644864456,28225.735294117647,0,0,0,0,0,0,0,0,0.0,308.2352941176471,0.0,301.11764705882354,0,0.0,0.0,0.0,5119.0,17.0,252155.06625289394,0.0,0.0,0.0,0.0,0,0,0,0.0,20301,0.0,20301,20301,0.0,0.0,0.0,0.0,NeedManualLabel
192.168.1.100-208.67.222.222-33062-53-17,192.168.1.100,33062,208.67.222.222,53,17,04/05/2025 06:55:00 PM,135719,0,39,0,16960,0.0,0.0,0.0,0.0,985,32,434.87179487179486,222.58117141336615,124964.08019510901,287.358439127904,3571.5526315789475,74294.87753892715,145553,-159028,0.0,0.0,0.0,0.0,0.0,135719,3571.5526315789475,74294.87753892715,145553,-159028,0,0,0,0,0,1560,0.0,287.358439127904,32,985,434.87179487179486,222.58117141336615,49542.37786774629,0,0,0,0,0,0,0,0,0.0,449.97435897435895,0.0,434.87179487179486,0,0.0,0.0,0.0,16960.0,39.0,124964.08019510901,0.0,0.0,0.0,0.0,0,0,0,0.0,135719,0.0,135719,135719,0.0,0.0,0.0,0.0,NeedManualLabel
10.0.0.50-8.8.8.8-3127-17600-6,10.0.0.50,3127,8.8.8.8,17600,6,04/05/2025 06:55:00 PM,27272,0,44,0,2435,0.0,0.0,0.0,0.0,139,0,55.34090909090909,29.928553047657132,89285.71428571428,1613.3763567028454,634.2325581395348,39060.07464262564,85215,-81376,0.0,0.0,0.0,0.0,0.0,27272,634.2325581395348,39060.07464262564,85215,-81376,0,0,0,0,0,1760,0.0,1613.3763567028454,0,139,55.34090909090909,29.928553047657132,895.718287526427,0,2,0,0,43,0,0,0,0.0,56.38636363636363,0.0,55.34090909090909,0,0.0,0.0,0.0,2435.0,43.0,89285.71428571428,0.0,0.0,0.0,0.0,0,57156,0,0.0,27272,0.0,27272,27272,0.0,0.0,0.0,0.0,NeedManualLabel
172.16.0.20-8.8.8.8-16241-80-17,172.16.0.20,16241,8.8.8.8,80,17,04/05/2025 06:55:01 PM,6651,16,16,1400,1701,175,34,87.5,40.287301556032105,157,37,106.3125,35.051806895888646,466245.67734175315,4811.306570440535,214.5483870967742,11184.766526660893,21202,-17069,-2749,-183.26666666666668,12265.80282426754,19112,-17069,17202,1146.8,10083.233446809469,20417,-16623,0,0,0,0,448,448,2405.6532852202677,2405.6532852202677,34,175,96.90625,38.35602267971031,1471.1844758064517,0,0,0,0,0,0,0,0,1.0,101.0625,87.5,106.3125,448,462.5,5.0,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
172.16.0.20-8.8.8.8-10804-63490-17,172.16.0.20,10804,8.8.8.8,63490,17,04/05/2025 06:54:58 PM,-4110,0,28,0,10288,0.0,0.0,0.0,0.0,684,0,367.42857142857144,143.7823531570028,0.0,0.0,-152.22222222222223,28190.05397207884,51719,-46928,0.0,0.0,0.0,0.0,0.0,-4110,-152.22222222222223,28190.05397207884,51719,-46928,0,0,0,0,0,784,0.0,0.0,0,684,367.42857142857144,143.7823531570028,20673.365079365078,0,0,0,0,0,0,0,0,0.0,381.2142857142857,0.0,367.42857142857144,0,0.0,0.0,0.0,10288.0,27.0,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
192.168.1.100-8.8.8.8-9836-443-17,192.168.1.100,9836,8.8.8.8,443,17,04/05/2025 06:55:02 PM,4895,0,32,0,9749,0.0,0.0,0.0,0.0,558,55,304.65625,130.15514548092708,1991624.1062308478,6537.282941777324,157.90322580645162,67658.17407889695,142229,-138748,0.0,0.0,0.0,0.0,0.0,4895,157.90322580645162,67658.17407889695,142229,-138748,0,0,0,0,0,896,0.0,6537.282941777324,55,558,304.65625,130.15514548092708,16940.36189516129,0,0,0,0,0,0,0,0,0.0,322.09375,0.0,304.65625,0,0.0,0.0,0.0,9749.0,32.0,1991624.1062308478,0.0,0.0,0.0,0.0,0,0,0,0.0,4895,0.0,4895,4895,0.0,0.0,0.0,0.0,NeedManualLabel
10.0.0.50-208.67.222.222-23145-53-17,10.0.0.50,23145,208.67.222.222,53,17,04/05/2025 06:54:57 PM,17204,0,40,0,8090,0.0,0.0,0.0,0.0,467,8,202.25,115.75543405309539,470239.47919088585,2325.0406882120437,441.12820512820514,32212.994949880485,65062,-61421,0.0,0.0,0.0,0.0,0.0,17204,441.12820512820514,32212.994949880485,65062,-61421,0,0,0,0,0,1600,0.0,2325.0406882120437,8,467,202.25,115.75543405309539,13399.320512820514,0,0,0,0,0,0,0,0,0.0,205.925,0.0,202.25,0,0.0,0.0,0.0,8090.0,40.0,470239.47919088585,0.0,0.0,0.0,0.0,0,0,0,0.0,17204,0.0,17204,17204,0.0,0.0,0.0,0.0,NeedManualLabel
10.0.0.50-192.168.1.1-65230-53-17,10.0.0.50,65230,192.168.1.1,53,17,04/05/2025 06:55:01 PM,-29055,0,43,0,2356,0.0,0.0,0.0,0.0,122,0,54.7906976744186,31.602108232517597,0.0,0.0,-691.7857142857143,58124.61700163803,114166,-103474,0.0,0.0,0.0,0.0,0.0,-29055,-691.7857142857143,58124.61700163803,114166,-103474,0,0,0,0,0,1672,0.0,0.0,0,122,54.7906976744186,31.602108232517597,998.6932447397564,0,0,0,0,0,0,0,0,0.0,56.04651162790697,0.0,54.7906976744186,0,0.0,0.0,0.0,2356.0,40.0,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
10.0.0.50-8.8.8.8-39341-27274-6,10.0.0.50,39341,8.8.8.8,27274,6,04/05/2025 06:55:02 PM,-8886,14,15,3675,3794,428,26,262.5,116.12576074107032,517,89,252.93333333333334,131.57478409453617,0.0,0.0,-317.35714285714283,33308.84107328717,62271,-65277,52699,4053.769230769231,35729.37024623171,47683,-65277,-8886,-634.7142857142857,40247.84507643488,72837,-49387,0,0,0,0,560,600,0.0,0.0,26,517,257.55172413793105,122.23180151046049,14940.61330049261,0,1,0,1,28,4,0,0,1.0714285714285714,268.3103448275862,262.5,252.93333333333334,560,1737.0,7.0,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
