Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,IlMI,Label
10.0.0.50-208.67.222.222-56705-21633-6,10.0.0.50,56705,208.67.222.222,21633,6,04/05/2025 06:54:58 PM,37946,5,0,1124,0,325,128,224.8,78.8333685694072,0.0,0.0,0.0,0.0,29621.040425868337,131.76619406525063,9486.5,8727.666984939331,21357,2469,37946,9486.5,8727.666984939331,21357,2469,0.0,0.0,0.0,0.0,0.0,0,0,0,0,200,0,131.76619406525063,0.0,128,325,224.8,78.8333685694072,6214.7,0,0,1,0,4,0,0,0,0.0,224.8,224.8,0.0,200,1124.0,5.0,29621.040425868337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43155,0,4,40,37946,0.0,37946,37946,0.0,0.0,0.0,0.0,NeedManualLabel
172.16.0.20-192.168.1.1-49332-49860-6,172.16.0.20,49332,192.168.1.1,49860,6,04/05/2025 06:54:57 PM,22431,0,6,0,3739,0.0,0.0,0.0,0.0,903,436,623.1666666666666,171.77359129582948,166688.95724666756,267.4869600106995,4486.2,13326.949020687369,15566,-17536,0.0,0.0,0.0,0.0,0.0,22431,4486.2,13326.949020687369,15566,-17536,0,0,0,0,0,240,0.0,267.4869600106995,436,903,623.1666666666666,171.77359129582948,29506.166666666668,0,1,1,1,4,0,0,0,0.0,730.5,0.0,623.1666666666666,0,0.0,0.0,0.0,3739.0,6.0,166688.95724666756,0.0,0.0,0.0,0.0,0,14104,0,0.0,22431,0.0,22431,22431,0.0,0.0,0.0,0.0,NeedManualLabel
10.0.0.50-192.168.1.1-36682-35185-6,10.0.0.50,36682,192.168.1.1,35185,6,04/05/2025 06:54:57 PM,1117,0,2,0,35,0.0,0.0,0.0,0.0,23,12,17.5,7.7781745930520225,31333.93017009848,1790.510295434199,1117,0.0,1117,1117,0.0,0.0,0.0,0.0,0.0,1117,1117,0.0,1117,1117,0,0,0,0,0,80,0.0,1790.510295434199,12,23,17.5,7.7781745930520225,60.5,0,0,1,0,1,1,0,0,0.0,23.5,0.0,17.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,47949,0,0.0,1117,0.0,1117,1117,0.0,0.0,0.0,0.0,NeedManualLabel
10.0.0.50-192.168.1.1-24460-15912-6,10.0.0.50,24460,192.168.1.1,15912,6,04/05/2025 06:55:01 PM,9217,0,14,0,5905,0.0,0.0,0.0,0.0,819,152,421.7857142857143,223.62646691144747,640663.9904524249,1518.932407507866,709,33719.65851448281,47955,-49368,0.0,0.0,0.0,0.0,0.0,9217,709,33719.65851448281,47955,-49368,0,0,0,0,0,560,0.0,1518.932407507866,152,819,421.7857142857143,223.62646691144747,50008.796703296706,0,1,1,0,12,0,0,0,0.0,440.0,0.0,421.7857142857143,0,0.0,0.0,0.0,5905.0,14.0,640663.9904524249,0.0,0.0,0.0,0.0,0,1863,0,0.0,9217,0.0,9217,9217,0.0,0.0,0.0,0.0,NeedManualLabel
172.16.0.20-208.67.222.222-17027-80-6,172.16.0.20,17027,208.67.222.222,80,6,04/05/2025 06:54:59 PM,94912,0,16,0,1357,0.0,0.0,0.0,0.0,175,0,84.8125,50.678356655808535,14297.454484153743,168.57720836142954,6327.466666666666,34899.95086543137,54618,-59142,0.0,0.0,0.0,0.0,0.0,94912,6327.466666666666,34899.95086543137,54618,-59142,0,0,0,0,0,640,0.0,168.57720836142954,0,175,84.8125,50.678356655808535,2568.295833333333,0,1,1,1,14,0,0,0,0.0,87.9375,0.0,84.8125,0,0.0,0.0,0.0,1357.0,15.0,14297.454484153743,0.0,0.0,0.0,0.0,0,12222,0,0.0,94912,0.0,94912,94912,0.0,0.0,0.0,0.0,NeedManualLabel
192.168.1.100-208.67.222.222-54055-443-6,192.168.1.100,54055,208.67.222.222,443,6,04/05/2025 06:55:01 PM,8035,6,0,1809,0,628,46,301.5,209.3301220560481,0.0,0.0,0.0,0.0,225140.0124455507,746.7330429371499,1607,4752.7429448687835,4723,-6806,8035,1607,4752.7429448687835,4723,-6806,0.0,0.0,0.0,0.0,0.0,0,0,0,0,240,0,746.7330429371499,0.0,46,628,301.5,209.3301220560481,43819.1,0,1,1,0,4,0,0,0,0.0,301.5,301.5,0.0,240,1809.0,6.0,225140.0124455507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27165,0,5,40,8035,0.0,8035,8035,0.0,0.0,0.0,0.0,NeedManualLabel
192.168.1.1-192.168.1.100-80-40541-6,192.168.1.1,80,192.168.1.100,40541,6,04/05/2025 06:54:57 PM,26588,0,7,0,614,0.0,0.0,0.0,0.0,129,52,87.71428571428571,23.570562754661342,23093.124717917857,263.2766661651873,4431.333333333333,22754.694062251565,37713,-27360,0.0,0.0,0.0,0.0,0.0,26588,4431.333333333333,22754.694062251565,37713,-27360,0,0,0,0,0,280,0.0,263.2766661651873,52,129,87.71428571428571,23.570562754661342,555.5714285714286,0,1,1,0,5,0,0,0,0.0,99.42857142857143,0.0,87.71428571428571,0,0.0,0.0,0.0,614.0,7.0,23093.124717917857,0.0,0.0,0.0,0.0,0,54514,0,0.0,26588,0.0,26588,26588,0.0,0.0,0.0,0.0,NeedManualLabel
10.0.0.50-208.67.222.222-43415-53-6,10.0.0.50,43415,208.67.222.222,53,6,04/05/2025 06:55:00 PM,9579,11,0,2438,0,409,46,221.63636363636363,109.46622559243808,0.0,0.0,0.0,0.0,254515.0850819501,1148.345338761875,957.9,7398.147312371899,12701,-8770,9579,957.9,7398.147312371899,12701,-8770,0.0,0.0,0.0,0.0,0.0,0,0,0,0,440,0,1148.345338761875,0.0,46,409,221.63636363636363,109.46622559243808,11982.854545454546,0,1,1,0,9,0,0,0,0.0,221.63636363636363,221.63636363636363,0.0,440,2438.0,11.0,254515.0850819501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42468,0,10,40,9579,0.0,9579,9579,0.0,0.0,0.0,0.0,NeedManualLabel
10.0.0.50-208.67.222.222-60092-53-6,10.0.0.50,60092,208.67.222.222,53,6,04/05/2025 06:55:00 PM,40645,20,0,4517,0,386,69,225.85,86.94842694016046,0.0,0.0,0.0,0.0,111132.9806864313,492.06544470414565,2139.2105263157896,27172.802860333522,49388,-40458,40645,2139.2105263157896,27172.802860333522,49388,-40458,0.0,0.0,0.0,0.0,0.0,0,0,0,0,800,0,492.06544470414565,0.0,69,386,225.85,86.94842694016046,7560.028947368421,0,1,1,0,18,1,0,0,0.0,225.85,225.85,0.0,800,4517.0,20.0,111132.9806864313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4130,0,19,40,40645,0.0,40645,40645,0.0,0.0,0.0,0.0,NeedManualLabel
192.168.1.100-208.67.222.222-10414-80-6,192.168.1.100,10414,208.67.222.222,80,6,04/05/2025 06:54:58 PM,43502,0,14,0,2761,0.0,0.0,0.0,0.0,368,0,197.21428571428572,103.07889328935504,63468.346282929524,321.82428394096826,3346.3076923076924,17436.82290147594,23394,-29739,0.0,0.0,0.0,0.0,0.0,43502,3346.3076923076924,17436.82290147594,23394,-29739,0,0,0,0,0,560,0.0,321.82428394096826,0,368,197.21428571428572,103.07889328935504,10625.258241758242,0,2,1,1,12,1,0,0,0.0,212.57142857142858,0.0,197.21428571428572,0,0.0,0.0,0.0,2761.0,13.0,63468.346282929524,0.0,0.0,0.0,0.0,0,55749,0,0.0,43502,0.0,43502,43502,0.0,0.0,0.0,0.0,NeedManualLabel
172.16.0.20-192.168.1.1-44164-53-6,172.16.0.20,44164,192.168.1.1,53,6,04/05/2025 06:55:00 PM,13893,7,0,3023,0,779,244,431.85714285714283,203.57179615672746,0.0,0.0,0.0,0.0,217591.592888505,503.85086014539695,2315.5,7906.188911226445,15333,-6608,13893,2315.5,7906.188911226445,15333,-6608,0.0,0.0,0.0,0.0,0.0,0,0,0,0,280,0,503.85086014539695,0.0,244,779,431.85714285714283,203.57179615672746,41441.47619047619,0,1,1,0,5,0,0,0,0.0,431.85714285714283,431.85714285714283,0.0,280,3023.0,7.0,217591.592888505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8469,0,6,40,13893,0.0,13893,13893,0.0,0.0,0.0,0.0,NeedManualLabel
172.16.0.20-192.168.1.1-44826-443-6,172.16.0.20,44826,192.168.1.1,443,6,04/05/2025 06:54:59 PM,-15333,10,11,2594,2645,451,82,259.4,116.43519895442081,440,24,240.45454545454547,138.73454049829382,0.0,0.0,-766.65,7237.824086189964,14638,-16278,3674,408.22222222222223,7828.40652332545,14638,-13279,-15333,-1533.3,10208.247461407533,12852,-16278,0,0,0,0,400,440,0.0,0.0,24,451,249.47619047619048,125.77106942680382,15818.361904761905,0,1,0,1,20,2,0,0,1.1,266.1904761904762,259.4,240.45454545454547,400,1864.0,7.0,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
192.168.1.100-8.8.8.8-19602-37286-6,192.168.1.100,19602,8.8.8.8,37286,6,04/05/2025 06:55:01 PM,-2578,26,0,12172,0,1134,88,468.15384615384613,233.19703125171938,0.0,0.0,0.0,0.0,0.0,0.0,-103.12,21806.1862214984,51323,-51036,-2578,-103.12,21806.1862214984,51323,-51036,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1040,0,0.0,0.0,88,1134,468.15384615384613,233.19703125171938,54380.85538461538,1,1,0,0,25,1,0,0,0.0,468.15384615384613,468.15384615384613,0.0,1040,12172.0,26.0,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
10.0.0.50-208.67.222.222-28612-80-6,10.0.0.50,28612,208.67.222.222,80,6,04/05/2025 06:54:59 PM,19545,12,13,6363,6270,737,0,530.25,245.95939243556595,755,163,482.3076923076923,196.46474858329532,646354.5663852647,1279.0995139421848,814.375,38236.45754786631,57237,-73180,4931,448.27272727272725,33355.22660720778,45284,-47694,19545,1628.75,38900.639181766666,66775,-73180,0,0,0,0,480,520,613.9677666922487,665.1317472499361,0,755,505.32,218.22956567187072,47624.14333333333,0,1,0,0,24,1,0,0,1.0833333333333333,535.32,530.25,482.3076923076923,480,2501.0,4.0,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
10.0.0.50-8.8.8.8-25215-443-6,10.0.0.50,25215,8.8.8.8,443,6,04/05/2025 06:55:00 PM,-13096,10,9,4196,2373,645,201,419.6,133.63565725093318,428,89,263.6666666666667,124.41061047997474,0.0,0.0,-727.5555555555555,19605.642069754314,29105,-38390,-4917,-546.3333333333334,21152.20039381246,27142,-31811,-21608,-2701,18744.672302131232,16658,-38390,0,0,0,0,400,360,0.0,0.0,89,645,345.7368421052632,149.020446809327,22207.09356725146,0,2,0,0,18,1,0,0,0.9,364.63157894736844,419.6,263.6666666666667,400,3995.0,9.0,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
192.168.1.100-208.67.222.222-20072-443-6,192.168.1.100,20072,208.67.222.222,443,6,04/05/2025 06:55:00 PM,25625,30,0,2484,0,158,0,82.8,46.522816056136406,0.0,0.0,0.0,0.0,96936.58536585367,1170.7317073170732,883.6206896551724,29878.709348217686,53612,-51363,25625,883.6206896551724,29878.709348217686,53612,-51363,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1200,0,1170.7317073170732,0.0,0,158,82.8,46.522816056136406,2164.3724137931035,1,1,0,0,29,0,0,0,0.0,82.8,82.8,0.0,1200,2484.0,28.0,96936.58536585367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30166,0,27,40,25625,0.0,25625,25625,0.0,0.0,0.0,0.0,NeedManualLabel
10.0.0.50-8.8.8.8-47284-53-6,10.0.0.50,47284,8.8.8.8,53,6,04/05/2025 06:54:59 PM,17894,12,12,1349,1682,226,0,112.41666666666667,67.47182352431992,220,30,140.16666666666666,63.22374889424404,169386.3864982676,1341.2316977757907,778,27763.012749143254,58803,-52743,-49091,-4462.818181818182,24700.935220425083,37569,-43821,17894,1626.7272727272727,31946.509950512307,42083,-49275,0,0,0,0,480,480,670.6158488878954,670.6158488878954,0,226,126.29166666666667,65.49708202372979,4289.867753623188,0,1,0,1,23,0,0,0,1.0,134.58333333333334,112.41666666666667,140.16666666666666,480,1253.0,9.0,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
10.0.0.50-8.8.8.8-55460-443-6,10.0.0.50,55460,8.8.8.8,443,6,04/05/2025 06:54:58 PM,-41696,0,29,0,9277,0.0,0.0,0.0,0.0,563,59,319.8965517241379,130.50050487794678,0.0,0.0,-1489.142857142857,30223.382327465755,47439,-70176,0.0,0.0,0.0,0.0,0.0,-41696,-1489.142857142857,30223.382327465755,47439,-70176,0,0,0,0,0,1160,0.0,0.0,59,563,319.8965517241379,130.50050487794678,17030.381773399014,1,2,0,1,28,2,0,0,0.0,330.2068965517241,0.0,319.8965517241379,0,0.0,0.0,0.0,9277.0,29.0,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
192.168.1.100-208.67.222.222-18728-60035-6,192.168.1.100,18728,208.67.222.222,60035,6,04/05/2025 06:54:57 PM,25579,0,29,0,12853,0.0,0.0,0.0,0.0,1174,7,443.2068965517241,243.1787084356959,502482.5051800305,1133.7425231635325,913.5357142857143,35663.10712194424,63076,-77376,0.0,0.0,0.0,0.0,0.0,25579,913.5357142857143,35663.10712194424,63076,-77376,0,0,0,0,0,1160,0.0,1133.7425231635325,7,1174,443.2068965517241,243.1787084356959,59135.884236453196,1,2,0,4,28,2,0,0,0.0,461.58620689655174,0.0,443.2068965517241,0,0.0,0.0,0.0,12853.0,29.0,502482.5051800305,0.0,0.0,0.0,0.0,0,1360,0,0.0,25579,0.0,25579,25579,0.0,0.0,0.0,0.0,NeedManualLabel
192.168.1.1-192.168.1.100-443-26515-6,192.168.1.1,443,192.168.1.100,26515,6,04/05/2025 06:54:59 PM,-6255,0,26,0,6307,0.0,0.0,0.0,0.0,449,0,242.57692307692307,125.69715130484798,0.0,0.0,-250.2,48672.54225690292,99859,-90318,0.0,0.0,0.0,0.0,0.0,-6255,-250.2,48672.54225690292,99859,-90318,0,0,0,0,0,1040,0.0,0.0,0,449,242.57692307692307,125.69715130484798,15799.773846153847,1,1,0,2,25,3,0,0,0.0,254.6153846153846,0.0,242.57692307692307,0,0.0,0.0,0.0,6307.0,25.0,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
192.168.1.100-8.8.8.8-52951-53-6,192.168.1.100,52951,8.8.8.8,53,6,04/05/2025 06:55:00 PM,60803,10,11,3501,6488,541,16,350.1,184.10531406417,1117,220,589.8181818181819,259.08833172561754,164284.65700705556,345.37769517951415,3040.15,36017.11585559376,60244,-62488,40241,4471.222222222223,35336.19873365618,56202,-41776,24832,2483.2,43034.012173318595,70266,-62488,0,0,0,0,400,440,164.46556913310198,180.91212604641217,16,1117,475.6666666666667,252.71789278429284,63866.33333333333,0,1,0,0,20,1,0,0,1.1,475.6666666666667,350.1,589.8181818181819,400,2441.0,8.0,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
